CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH,TRANSACTION_PENETRATION_BEFORE,TRANSACTION_PENETRATION_AFTER,TRANSACTION_PENETRATION_GROWTH,BUYER_PROMO_BEFORE,BUYER_PROMO_AFTER,BUYER_NON_PROMO_BEFORE,BUYER_NON_PROMO_AFTER,PROMO_SHARE_BEFORE,PROMO_SHARE_AFTER,NON_PROMO_SHARE_BEFORE,NON_PROMO_SHARE_AFTER
6121 - PACK EGG (KAMPUNG),BCTB (FLOOR),5.73,5.6,-0.0227,169.5,64.33,-0.6205,1.28,1.32,0.0313,24028.0,23653.0,-0.0156,30756.0,31222.0,0.0152,264.0,146.0,-0.447,0.0165,0.0604,2.6606,93.0,56.0,186.0,95.0,0.3333,0.3709,0.6667,0.6291
6131 - SALTY EGG,BCTB (FLOOR),1.35,1.33,-0.0148,55.0,9.0,-0.8364,1.2,1.08,-0.1,16011.0,15867.0,-0.009,19213.0,17136.0,-0.1081,92.0,25.0,-0.7283,0.0053,0.0084,0.5849,7.0,0.0,85.0,25.0,0.0761,0.0,0.9239,1.0
1115 - REMEDIES DRINK,BEVERAGES,1.03,1.14,0.1068,120.0,38.67,-0.6778,1.06,1.05,-0.0094,18834.0,22459.0,0.1925,19964.0,23582.0,0.1812,227.0,111.0,-0.511,0.0163,0.0119,-0.2699,96.0,46.0,135.0,68.0,0.4156,0.4035,0.5844,0.5965
1121 - DESSERT,BEVERAGES,1.31,1.24,-0.0534,320.0,148.33,-0.5365,1.16,1.11,-0.0431,13210.0,13598.0,0.0294,15324.0,15094.0,-0.015,552.0,400.0,-0.2754,0.0436,0.0455,0.0436,239.0,175.0,347.0,244.0,0.4078,0.4177,0.5922,0.5823
1141 - SYRUP,BEVERAGES,1.22,1.46,0.1967,136.0,117.33,-0.1373,1.06,1.04,-0.0189,33064.0,37875.0,0.1455,35048.0,39390.0,0.1239,256.0,337.0,0.3164,0.0185,0.036,0.9459,11.0,76.0,245.0,263.0,0.043,0.2242,0.957,0.7758
1142 - SQUASH,BEVERAGES,1.37,3.38,1.4672,63.0,83.33,0.3227,1.12,1.07,-0.0446,24373.0,42653.0,0.75,27298.0,45639.0,0.6719,112.0,233.0,1.0804,0.0086,0.0256,1.9767,89.0,134.0,26.0,104.0,0.7739,0.563,0.2261,0.437
1144 - POWDER DRINK,BEVERAGES,1.12,1.05,-0.0625,29.5,6.67,-0.7739,1.11,1.0,-0.0991,22210.0,17290.0,-0.2215,24653.0,17290.0,-0.2987,53.0,20.0,-0.6226,0.004,0.002,-0.5,5.0,2.0,48.0,18.0,0.0943,0.1,0.9057,0.9
1154 - RTD TEA,BEVERAGES,1.37,1.33,-0.0292,309.0,98.0,-0.6828,1.33,1.29,-0.0301,15253.0,14653.0,-0.0393,20286.0,18902.0,-0.0682,464.0,228.0,-0.5086,0.0421,0.0301,-0.285,321.0,171.0,186.0,70.0,0.6331,0.7095,0.3669,0.2905
1231 - TRADITIONAL DRINK,BEVERAGES,1.13,1.25,0.1062,189.5,130.67,-0.3104,1.13,1.18,0.0442,13480.0,15633.0,0.1597,15232.0,18447.0,0.2111,336.0,332.0,-0.0119,0.0258,0.0401,0.5543,144.0,107.0,217.0,252.0,0.3989,0.2981,0.6011,0.7019
2023 - TETRAPACK LIQUID MILK,BEVERAGES,1.52,1.71,0.125,6308.0,2706.0,-0.571,1.59,1.54,-0.0314,31748.0,33133.0,0.0436,50479.0,51025.0,0.0108,7937.0,5271.0,-0.3359,0.8591,0.8305,-0.0333,5914.0,4029.0,3063.0,1938.0,0.6588,0.6752,0.3412,0.3248
1311 - JAM,BREAD CORNER (BC),1.09,1.06,-0.0275,435.0,213.33,-0.5096,1.13,1.16,0.0265,24159.0,21181.0,-0.1233,27300.0,24570.0,-0.1,772.0,553.0,-0.2837,0.0264,0.0261,-0.0114,248.0,383.0,562.0,216.0,0.3062,0.6394,0.6938,0.3606
1312 - CHOCOLATE SPREAD,BREAD CORNER (BC),1.03,1.03,0.0,508.5,219.33,-0.5687,1.14,1.14,0.0,42122.0,40294.0,-0.0434,48019.0,45935.0,-0.0434,892.0,575.0,-0.3554,0.0309,0.0269,-0.1294,612.0,346.0,306.0,250.0,0.6667,0.5805,0.3333,0.4195
1313 - CHOCO RICE,BREAD CORNER (BC),1.06,1.07,0.0094,1044.5,375.0,-0.641,1.2,1.18,-0.0167,14835.0,15475.0,0.0431,17802.0,18260.0,0.0257,1734.0,951.0,-0.4516,0.0634,0.046,-0.2744,845.0,541.0,1011.0,456.0,0.4553,0.5426,0.5447,0.4574
1314 - CHEESE,BREAD CORNER (BC),1.32,1.27,-0.0379,2772.5,1091.0,-0.6065,1.33,1.29,-0.0301,21454.0,20439.0,-0.0473,28534.0,26366.0,-0.076,4178.0,2528.0,-0.3949,0.1684,0.1337,-0.2061,3129.0,1798.0,1452.0,953.0,0.683,0.6536,0.317,0.3464
