BUYER_ID,SECTION,CATEGORY_BEFORE,CATEGORY_AFTER,SWITCH_FLAG,PROMO_FLAG
MEM_9990010003664194,BEVERAGES,2023 - TETRAPACK LIQUID MILK,2023 - TETRAPACK LIQUID MILK,NO_SWITCH,PROMO
MEM_9990010003664194,CHILLER,2023 - TETRAPACK LIQUID MILK,2023 - TETRAPACK LIQUID MILK,NO_SWITCH,NON PROMO
MEM_9990010003664194,HOUSE HOLD,3615 - ELECTRIC INSECTICIDES,3615 - ELECTRIC INSECTICIDES,NO_SWITCH,NON PROMO
MEM_9990010003664194,PERSONAL CARE,3218 - HAIR VITAMIN,3225 - HAND SOAP,SWITCH,PROMO
MEM_9990010003664194,SNACK,2212 - POTATOES,2213 - EXTRUDED & PELLET,SWITCH,NON PROMO
MEM_9990010003664194,STAPLE NEED,1725 - DRESSING,1521 - PALM COOKING OIL,SWITCH,PROMO
MEM_9990010003676474,BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,2227 - WAFER BISCUIT,SWITCH,NON PROMO
MEM_9990010003676474,CHILLER,1113 - MINERAL WATER,6227 - CHILLED SAUSAGES,SWITCH,PROMO
MEM_9990010003676474,SNACK,2213 - EXTRUDED & PELLET,2213 - EXTRUDED & PELLET,NO_SWITCH,NON PROMO
MEM_9990010003691900,NOODLE,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,PROMO
MEM_9990010003691900,STAPLE NEED,1512 - SUGAR,1915 - PASTA,SWITCH,PROMO
MEM_9990010003692090,CHILLER,1113 - MINERAL WATER,1113 - MINERAL WATER,NO_SWITCH,PROMO
MEM_9990010003692090,HOUSE HOLD,3516 - DISHWASHING CLEANER,3714 - LIQUID DETERGENT,SWITCH,PROMO
MEM_9990010003692090,NOODLE,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,NON PROMO
MEM_9990010003692090,NOODLE,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,PROMO
MEM_9990010003692090,PERSONAL CARE,3222 - BEAUTY LIQUID SOAP,3225 - HAND SOAP,SWITCH,PROMO
MEM_9990010003692090,SANITARY ADULT,3321 - SANITARY NAPKINS WINGS,3321 - SANITARY NAPKINS WINGS,NO_SWITCH,PROMO
MEM_9990010003692090,SNACK,2211 - PEANUTS,2211 - PEANUTS,NO_SWITCH,PROMO
MEM_9990010003692090,STAPLE NEED,1512 - SUGAR,1521 - PALM COOKING OIL,SWITCH,PROMO
MEM_9990010003727438,SANITARY ADULT,3321 - SANITARY NAPKINS WINGS,3321 - SANITARY NAPKINS WINGS,NO_SWITCH,PROMO
MEM_9990010003745200,MEJA KASIR,2321 - POCKET CANDY,2321 - POCKET CANDY,NO_SWITCH,PROMO
MEM_9990010003778283,STAPLE NEED,1521 - PALM COOKING OIL,1512 - SUGAR,SWITCH,NON PROMO
MEM_9990010003801789,CHILLER,1151 - RTD JUICE,2023 - TETRAPACK LIQUID MILK,SWITCH,PROMO
MEM_9990010003801789,HOUSE HOLD,3516 - DISHWASHING CLEANER,3516 - DISHWASHING CLEANER,NO_SWITCH,PROMO
MEM_9990010003801789,MEDICINE & BABY CARE,3131 - TRADITIONAL & CHINESE,3131 - TRADITIONAL & CHINESE,NO_SWITCH,PROMO
MEM_9990010003851400,BISC & CONFECTIONARY,2228 - STICK BISCUIT,2323 - BAG CANDY,SWITCH,NON PROMO
MEM_9990010003851400,ICE CREAM,6242 - IMPULSE ICE CREAM,6242 - IMPULSE ICE CREAM,NO_SWITCH,NON PROMO
MEM_9990010003851400,SNACK,2214 - TRADITIONAL SNACK,2213 - EXTRUDED & PELLET,SWITCH,PROMO
MEM_9990010003851400,SNACK,2214 - TRADITIONAL SNACK,2213 - EXTRUDED & PELLET,SWITCH,NON PROMO
MEM_9990010003860862,BREAKFAST,1221 - INSTANT COFFEE MIX,2021 - SWEETENED CONDENSED MILK,SWITCH,NON PROMO
MEM_9990010003863915,HOUSE HOLD,3714 - LIQUID DETERGENT,3714 - LIQUID DETERGENT,NO_SWITCH,PROMO
MEM_9990010003960759,BISC & CONFECTIONARY,2223 - CRACKER BISCUIT,2221 - CAN BISCUIT,SWITCH,PROMO
MEM_9990010003960759,HOUSE HOLD,3714 - LIQUID DETERGENT,3511 - FLOOR CLEANER,SWITCH,PROMO
MEM_9990010003960759,PERSONAL CARE,3247 - ANTI ACNE,3239 - MEN PARFUME & EDT,SWITCH,NON PROMO
MEM_9990010003960759,STAPLE NEED,1512 - SUGAR,1511 - RICE,SWITCH,NON PROMO
MEM_9990010003960759,TISSUE,3311 - FACIAL TISSUE,3311 - FACIAL TISSUE,NO_SWITCH,NON PROMO
MEM_9990010003960759,TOOTH CARE,3272 - TOOTH PASTE,3272 - TOOTH PASTE,NO_SWITCH,NON PROMO
MEM_9990010003978775,BISC & CONFECTIONARY,2224 - MARIE BISCUIT,2222 - COOKIES BISCUIT,SWITCH,NON PROMO
MEM_9990010003978775,BISC & CONFECTIONARY,2224 - MARIE BISCUIT,2222 - COOKIES BISCUIT,SWITCH,PROMO
MEM_9990010003978775,BREAD CORNER (BC),6611 - BREAD,6611 - BREAD,NO_SWITCH,NON PROMO
MEM_9990010003978775,BREAKFAST,2021 - SWEETENED CONDENSED MILK,1321 - CEREAL,SWITCH,PROMO
MEM_9990010003978775,BREAKFAST,2021 - SWEETENED CONDENSED MILK,1321 - CEREAL,SWITCH,NON PROMO
MEM_9990010003978775,CHILLER,2023 - TETRAPACK LIQUID MILK,2023 - TETRAPACK LIQUID MILK,NO_SWITCH,PROMO
MEM_9990010003978775,HOUSE HOLD,3714 - LIQUID DETERGENT,3516 - DISHWASHING CLEANER,SWITCH,PROMO
MEM_9990010003978775,SANITARY ADULT,3323 - PANTYLINERS,3323 - PANTYLINERS,NO_SWITCH,PROMO
