BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
ALFA,5812A - HAIR GROOMING,5812 - HAIR ACCESSORIES,ACCESSORIES,1.12,1.07,-0.0446,42.5,27.67,-0.3489,1.02,1.01,-0.0098,18941.0,19494.0,0.0292,19320.0,19689.0,0.0191,83.0,82.0,-0.012
SCORLINES,5812A - HAIR GROOMING,5812 - HAIR ACCESSORIES,ACCESSORIES,1.0,1.0,0.0,6.0,3.0,-0.5,1.0,1.0,0.0,12592.0,12922.0,0.0262,12592.0,12922.0,0.0262,12.0,9.0,-0.25
WETBRUSH,5812A - HAIR GROOMING,5812 - HAIR ACCESSORIES,ACCESSORIES,1.0,,,1.0,,,1.0,,,82850.0,,,82850.0,,,2.0,,
ALFA,5813A - PIN & SCISSORS NAIL,5813 - PIN & SCISSORS NAIL,ACCESSORIES,1.0,1.0,0.0,18.0,9.0,-0.5,1.0,1.0,0.0,18636.0,18000.0,-0.0341,18636.0,18000.0,-0.0341,36.0,27.0,-0.25
SCORLINES,5813A - PIN & SCISSORS NAIL,5813 - PIN & SCISSORS NAIL,ACCESSORIES,1.0,1.0,0.0,20.5,11.67,-0.4307,1.0,1.0,0.0,20534.0,19871.0,-0.0323,20534.0,19871.0,-0.0323,41.0,35.0,-0.1463
TRENDY,5813A - PIN & SCISSORS NAIL,5813 - PIN & SCISSORS NAIL,ACCESSORIES,1.0,1.0,0.0,9.5,1.0,-0.8947,1.06,1.0,-0.0566,23205.0,22867.0,-0.0146,24597.0,22867.0,-0.0703,18.0,3.0,-0.8333
BT21,5814A - BEAUTY ACCESSORIES,5814 - BEAUTY ACCESSORIES,ACCESSORIES,1.0,,,0.5,,,1.0,,,17900.0,,,17900.0,,,1.0,,
MARVELS,5814A - BEAUTY ACCESSORIES,5814 - BEAUTY ACCESSORIES,ACCESSORIES,1.0,,,1.0,,,1.0,,,44600.0,,,44600.0,,,2.0,,
SCORLINES,5814A - BEAUTY ACCESSORIES,5814 - BEAUTY ACCESSORIES,ACCESSORIES,1.07,1.14,0.0654,14.5,2.33,-0.8393,1.04,1.0,-0.0385,12297.0,13200.0,0.0734,12789.0,13200.0,0.0321,28.0,7.0,-0.75
ALFA,5911A - HAIR ACCESSORIES IMPORT,5911 - HAIR ACCESSORIES IMPORT,ACCESSORIES,1.0,1.25,0.25,1.5,1.33,-0.1133,1.0,1.0,0.0,24567.0,26275.0,0.0695,24567.0,26275.0,0.0695,3.0,4.0,0.3333
