BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
HYDRO COCO,1114B - ISOTONIC DRINK PET 300-380ML,1114 - ISOTONIC DRINK,CHILLER,1.12,1.11,-0.0089,4.0,6.33,0.5825,1.0,1.0,0.0,14075.0,14389.0,0.0223,14075.0,14389.0,0.0223,8.0,19.0,1.375
ICHITAN,1114B - ISOTONIC DRINK PET 300-380ML,1114 - ISOTONIC DRINK,CHILLER,1.0,1.22,0.22,7.5,3.0,-0.6,1.36,1.12,-0.1765,7200.0,8933.0,0.2407,9792.0,10005.0,0.0218,11.0,8.0,-0.2727
IF,1114B - ISOTONIC DRINK PET 300-380ML,1114 - ISOTONIC DRINK,CHILLER,,1.25,,,1.33,,,1.0,,,18750.0,,,18750.0,,,4.0,
ISOPLUS,1114B - ISOTONIC DRINK PET 300-380ML,1114 - ISOTONIC DRINK,CHILLER,1.21,1.09,-0.0992,21.5,21.67,0.0079,1.05,1.3,0.2381,4333.0,4400.0,0.0155,4550.0,5720.0,0.2571,41.0,50.0,0.2195
POCARI SWEAT,1114B - ISOTONIC DRINK PET 300-380ML,1114 - ISOTONIC DRINK,CHILLER,1.64,1.15,-0.2988,30.5,26.33,-0.1367,1.05,1.08,0.0286,11610.0,8195.0,-0.2941,12190.0,8851.0,-0.2739,58.0,73.0,0.2586
HYDRO COCO,1114C - ISOTONIC DRINK PET 450-500ML,1114 - ISOTONIC DRINK,CHILLER,1.11,1.1,-0.009,38.0,24.33,-0.3597,1.33,1.12,-0.1579,17829.0,17608.0,-0.0124,23713.0,19721.0,-0.1683,57.0,65.0,0.1404
MIZONE,1114C - ISOTONIC DRINK PET 450-500ML,1114 - ISOTONIC DRINK,CHILLER,1.4,1.49,0.0643,45.5,21.67,-0.5237,1.18,1.05,-0.1102,9023.0,9765.0,0.0822,10647.0,10253.0,-0.037,77.0,62.0,-0.1948
POCARI SWEAT,1114C - ISOTONIC DRINK PET 450-500ML,1114 - ISOTONIC DRINK,CHILLER,1.14,1.14,0.0,78.0,56.67,-0.2735,1.13,1.12,-0.0088,9484.0,9220.0,-0.0278,10717.0,10326.0,-0.0365,138.0,152.0,0.1014
REGEN,1114C - ISOTONIC DRINK PET 450-500ML,1114 - ISOTONIC DRINK,CHILLER,1.53,,,8.5,,,1.06,,,22176.0,,,23507.0,,,16.0,,
YOU C1000 WATER,1114C - ISOTONIC DRINK PET 450-500ML,1114 - ISOTONIC DRINK,CHILLER,1.2,1.13,-0.0583,49.0,25.67,-0.4761,1.29,1.18,-0.0853,10562.0,9918.0,-0.061,13625.0,11703.0,-0.1411,76.0,65.0,-0.1447
POCARI SWEAT,1114D - ISOTONIC DRINK CAN 330ML,1114 - ISOTONIC DRINK,CHILLER,2.0,1.0,-0.5,2.0,1.33,-0.335,1.0,1.0,0.0,13700.0,6900.0,-0.4964,13700.0,6900.0,-0.4964,4.0,4.0,0.0
HYDRO COCO,1114E - ISOTONIC DRINK PET 900ML-1.5L,1114 - ISOTONIC DRINK,CHILLER,1.09,1.0,-0.0826,5.5,0.33,-0.94,1.0,1.0,0.0,28364.0,25500.0,-0.101,28364.0,25500.0,-0.101,11.0,1.0,-0.9091
POCARI SWEAT,1114E - ISOTONIC DRINK PET 900ML-1.5L,1114 - ISOTONIC DRINK,CHILLER,1.0,1.0,0.0,12.5,15.67,0.2536,1.09,1.09,0.0,13748.0,13926.0,0.0129,14985.0,15179.0,0.0129,23.0,43.0,0.8696
POCARI SWEAT,1114F - ISOTONIC DRINK PET 2L,1114 - ISOTONIC DRINK,CHILLER,1.29,1.12,-0.1318,10.5,8.33,-0.2067,1.4,1.04,-0.2571,30329.0,27020.0,-0.1091,42461.0,28101.0,-0.3382,15.0,24.0,0.6
ADEM SARI,1115A - REMEDIES DRINK CAN,1115 - REMEDIES DRINK,CHILLER,1.19,1.34,0.1261,26.5,31.67,0.1951,1.1,1.19,0.0818,11079.0,12612.0,0.1384,12187.0,15008.0,0.2315,48.0,80.0,0.6667
BADAK,1115A - REMEDIES DRINK CAN,1115 - REMEDIES DRINK,CHILLER,1.28,1.3,0.0156,47.0,49.67,0.0568,1.15,1.22,0.0609,9833.0,10736.0,0.0918,11308.0,13098.0,0.1583,82.0,122.0,0.4878
CAP PANDA,1115A - REMEDIES DRINK CAN,1115 - REMEDIES DRINK,CHILLER,1.0,,,1.0,,,2.0,,,7500.0,,,15000.0,,,1.0,,
COOLTOPIA,1115A - REMEDIES DRINK CAN,1115 - REMEDIES DRINK,CHILLER,1.25,1.31,0.048,6.0,12.0,1.0,1.0,1.09,0.09,9508.0,10925.0,0.149,9508.0,11908.0,0.2524,12.0,33.0,1.75
KAKI TIGA,1115A - REMEDIES DRINK CAN,1115 - REMEDIES DRINK,CHILLER,1.24,1.25,0.0081,63.0,38.33,-0.3916,1.11,1.13,0.018,9084.0,9163.0,0.0087,10083.0,10354.0,0.0269,114.0,102.0,-0.1053
LASEGAR,1115A - REMEDIES DRINK CAN,1115 - REMEDIES DRINK,CHILLER,1.48,2.58,0.7432,11.5,4.0,-0.6522,1.1,1.09,-0.0091,11204.0,20883.0,0.8639,12324.0,22762.0,0.847,21.0,11.0,-0.4762
ADEM SARI,1115C - REMEDIES DRINK PET 150-350ML,1115 - REMEDIES DRINK,CHILLER,1.13,1.13,0.0,11.5,17.67,0.5365,1.1,1.13,0.0273,10570.0,10702.0,0.0125,11627.0,12093.0,0.0401,21.0,47.0,1.2381
ALANG SARI,1115C - REMEDIES DRINK PET 150-350ML,1115 - REMEDIES DRINK,CHILLER,1.35,,,8.5,,,1.06,,,11906.0,,,12620.0,,,16.0,,
BADAK,1115C - REMEDIES DRINK PET 150-350ML,1115 - REMEDIES DRINK,CHILLER,1.21,1.71,0.4132,7.0,11.67,0.6671,1.0,1.03,0.03,9600.0,13814.0,0.439,9600.0,14228.0,0.4821,14.0,34.0,1.4286
KAKI TIGA,1115C - REMEDIES DRINK PET 150-350ML,1115 - REMEDIES DRINK,CHILLER,1.46,1.47,0.0068,6.5,5.67,-0.1277,1.0,1.0,0.0,10931.0,11359.0,0.0392,10931.0,11359.0,0.0392,13.0,17.0,0.3077
KIRANTI,1115C - REMEDIES DRINK PET 150-350ML,1115 - REMEDIES DRINK,CHILLER,1.48,1.32,-0.1081,31.5,11.33,-0.6403,1.37,1.13,-0.1752,11810.0,10571.0,-0.1049,16180.0,11945.0,-0.2617,46.0,30.0,-0.3478
SIDOMUNCUL,1115C - REMEDIES DRINK PET 150-350ML,1115 - REMEDIES DRINK,CHILLER,,1.2,,,1.67,,,1.0,,,8640.0,,,8640.0,,,5.0,
BADAK,1115D - REMEDIES DRINK PET 500-600ML,1115 - REMEDIES DRINK,CHILLER,1.15,1.17,0.0174,16.5,13.67,-0.1715,1.06,1.08,0.0189,10224.0,11020.0,0.0779,10837.0,11902.0,0.0983,31.0,38.0,0.2258
KAKI TIGA,1115D - REMEDIES DRINK PET 500-600ML,1115 - REMEDIES DRINK,CHILLER,1.33,1.22,-0.0827,21.5,9.0,-0.5814,1.1,1.04,-0.0545,11505.0,11119.0,-0.0336,12656.0,11564.0,-0.0863,39.0,26.0,-0.3333
AMUNIZER,1116A - VITAMIN DRINK 100-150ML,1116 - VITAMIN DRINK,CHILLER,1.36,1.25,-0.0809,5.5,1.33,-0.7582,1.57,1.0,-0.3631,12164.0,10900.0,-0.1039,19097.0,10900.0,-0.4292,7.0,4.0,-0.4286
FITMEUP,1116A - VITAMIN DRINK 100-150ML,1116 - VITAMIN DRINK,CHILLER,,1.33,,,2.0,,,1.0,,,12000.0,,,12000.0,,,6.0,
