PLU,DESCP,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
443610,INSTA WATERMELON 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.07,2.67,1.4953,7.0,2.0,-0.7143,1.0,1.2,0.2,26764.0,68733.0,1.5681,26764.0,82480.0,2.0818,14.0,5.0,-0.6429
446318,MARLBORO VISTA PURPLE BURST 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.0,,,21.5,,,1.3,,,33700.0,,,43810.0,,,33.0,,
459979,NESLITE MENTHOL 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,,1.21,,,8.0,,,1.26,,,28033.0,,,35322.0,,,19.0,
435235,ON LINE GRAPE 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,,1.0,,,1.67,,,1.0,,,25800.0,,,25800.0,,,5.0,
154870,SAMPOERNA A MILD MRH PB 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.44,1.23,-0.1458,418.0,289.0,-0.3086,1.6,1.45,-0.0938,53690.0,47167.0,-0.1215,85904.0,68392.0,-0.2039,522.0,598.0,0.1456
154872,SAMPOERNA A MILD MRH PB 12,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.07,1.02,-0.0467,43.5,44.0,0.0115,1.07,1.21,0.1308,30186.0,28857.0,-0.044,32299.0,34917.0,0.0811,81.0,109.0,0.3457
240035,SAMPOERNA AVOLUTION ORIGINAL 20,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.36,1.32,-0.0294,33.0,30.33,-0.0809,1.38,1.65,0.1957,64267.0,62786.0,-0.023,88688.0,103597.0,0.1681,48.0,55.0,0.1458
240036,SAMPOERNA AVOLUTION MENTHOL 20,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.29,1.07,-0.1705,15.5,9.33,-0.3981,1.63,1.12,-0.3129,61210.0,51386.0,-0.1605,99772.0,57552.0,-0.4232,19.0,25.0,0.3158
406620,SAMPOERNA MILD MENTHOL BURST 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.23,1.32,0.0732,84.5,69.67,-0.1755,1.52,1.65,0.0855,46799.0,51280.0,0.0957,71134.0,84612.0,0.1895,111.0,127.0,0.1441
415432,SAMPOERNA SPLASH TROPICAL 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.12,1.2,0.0714,29.0,21.33,-0.2645,1.38,1.33,-0.0362,37016.0,40527.0,0.0949,51082.0,53901.0,0.0552,42.0,48.0,0.1429
439972,SAMPOERNA SPLASH ROYAL 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.09,1.06,-0.0275,27.5,16.33,-0.4062,1.38,1.2,-0.1304,35996.0,35573.0,-0.0118,49674.0,42688.0,-0.1406,40.0,41.0,0.025
442053,SAMPOERNA AMILD ICON EDITION 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.42,,,16.5,,,1.14,,,49370.0,,,56282.0,,,29.0,,
444591,SAMPOERNA SPLASH GALA 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.69,,,18.0,,,2.12,,,55747.0,,,118184.0,,,17.0,,
445367,SAMPOERNA A MILD SPC ED 89,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.48,1.18,-0.2027,97.5,128.0,0.3128,1.71,1.48,-0.1345,51754.0,41705.0,-0.1942,88499.0,61723.0,-0.3026,114.0,260.0,1.2807
446316,SAMPOERNA AVOLUTION TWLBREEZE20,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.29,1.0,-0.2248,10.5,1.0,-0.9048,1.24,1.0,-0.1935,52943.0,41067.0,-0.2243,65649.0,41067.0,-0.3744,17.0,3.0,-0.8235
450542,SAMPOERNA AVO ROYAL BURST 20,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.0,1.14,0.14,2.0,4.67,1.335,1.0,1.0,0.0,41000.0,47150.0,0.15,41000.0,47150.0,0.15,4.0,14.0,2.5
433959,TWIZZ GREEN CRUSH 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.0,,,3.0,,,1.0,,,26750.0,,,26750.0,,,6.0,,
435081,TWIZZ ROYAL CRUSH 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.05,1.03,-0.019,39.5,25.0,-0.3671,1.18,1.5,0.2712,28129.0,29181.0,0.0374,33192.0,43772.0,0.3188,67.0,50.0,-0.2537
