SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
6611D - PULL APART BREAD,6611 - BREAD,BREAD CORNER (BC),1.18,1.19,0.0085,3667.0,1828.33,-0.5014,1.32,1.32,0.0,17156.0,17553.0,0.0231,22646.0,23170.0,0.0231,5550.0,4165.0,-0.2495
6612A - CAKE,6612 - CAKE,BREAD CORNER (BC),1.34,1.39,0.0373,902.5,536.67,-0.4054,1.29,1.27,-0.0155,9487.0,9088.0,-0.0421,12238.0,11542.0,-0.0569,1394.0,1263.0,-0.094
6612B - STEAM CAKE,6612 - CAKE,BREAD CORNER (BC),1.45,1.49,0.0276,302.0,367.33,0.2163,1.32,1.47,0.1136,13631.0,12313.0,-0.0967,17993.0,18100.0,0.0059,457.0,748.0,0.6368
1111A - ENERGY DRINK LIQUID BOTTLE  100-250ML,1111 - ENERGY DRINK,CHILLER,1.46,1.18,-0.1918,141.5,113.67,-0.1967,1.33,1.34,0.0075,9781.0,8038.0,-0.1782,13009.0,10771.0,-0.172,212.0,255.0,0.2028
1111B - ENERGY DRINK LIQUID CAN 200-350ML,1111 - ENERGY DRINK,CHILLER,1.39,1.2,-0.1367,65.5,32.0,-0.5115,1.16,1.12,-0.0345,14702.0,12273.0,-0.1652,17054.0,13746.0,-0.194,113.0,86.0,-0.2389
1112A - CARBONATED DRINK CAN 200-250ML,1112 - CARBONATED DRINK,CHILLER,1.48,1.19,-0.1959,97.0,24.33,-0.7492,1.22,1.03,-0.1557,12451.0,8358.0,-0.3287,15190.0,8609.0,-0.4332,159.0,71.0,-0.5535
1112B - CARBONATED DRINK CAN 300-330ML,1112 - CARBONATED DRINK,CHILLER,1.43,,,10.5,,,1.0,,,9476.0,,,9476.0,,,21.0,,
1112C - CARBONATED DRINK PET 250-450 ML,1112 - CARBONATED DRINK,CHILLER,1.19,1.35,0.1345,3272.5,331.33,-0.8988,1.87,1.2,-0.3583,6608.0,6827.0,0.0331,12357.0,8192.0,-0.3371,3496.0,826.0,-0.7637
1112D - CARBONATED DRINK PET 425-500ML,1112 - CARBONATED DRINK,CHILLER,1.23,1.13,-0.0813,76.5,59.0,-0.2288,1.22,1.2,-0.0164,11948.0,10412.0,-0.1286,14577.0,12494.0,-0.1429,125.0,148.0,0.184
1112E - CARBONATED DRINK PET 1000-1800ML,1112 - CARBONATED DRINK,CHILLER,1.18,1.58,0.339,1604.0,192.67,-0.8799,1.59,1.22,-0.2327,15556.0,17104.0,0.0995,24734.0,20867.0,-0.1563,2018.0,473.0,-0.7656
