kd_store,section,kd_section,kd_variant,plano_group_final,category_a,category_b,period_flag,trans_a,trans_a_pm,trans_b,trans_b_pm,trans_ab,support_ratio,total_transactions,avg_qty_a_when_pair,avg_qty_b_when_pair
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2414 - SPM (SIGARET PUTIH MESIN),"2421 - LIGHTER, MATCHES & PAPER",BEFORE,145,72.50,37,18.50,5,0.005967,838,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2415 - SIGARET ELEKTRIK,2411 - SKT (SIGARET KRETEK TANGAN),BEFORE,34,17.00,175,87.50,1,0.001193,838,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2415 - SIGARET ELEKTRIK,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BEFORE,34,17.00,364,182.00,2,0.002387,838,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2415 - SIGARET ELEKTRIK,2413 - SKM (SIGARET KRETEK MESIN) FF,BEFORE,34,17.00,186,93.00,1,0.001193,838,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2415 - SIGARET ELEKTRIK,2414 - SPM (SIGARET PUTIH MESIN),BEFORE,34,17.00,145,72.50,2,0.002387,838,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,"2421 - LIGHTER, MATCHES & PAPER",2412 - SKM (SIGARET KRETEK MESIN) LTLN,BEFORE,37,18.50,364,182.00,17,0.020286,838,1.00,3.65
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,"2421 - LIGHTER, MATCHES & PAPER",2413 - SKM (SIGARET KRETEK MESIN) FF,BEFORE,37,18.50,186,93.00,5,0.005967,838,1.00,1.20
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,"2421 - LIGHTER, MATCHES & PAPER",2414 - SPM (SIGARET PUTIH MESIN),BEFORE,37,18.50,145,72.50,5,0.005967,838,1.00,1.00
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,1119 - MINERAL WATER GALON,6112 - BULKY EGG,AFTER,69,23.00,72,24.00,2,0.011364,176,1.00,10.00
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,6111 - PACK EGG (NEGERI),6112 - BULKY EGG,AFTER,21,7.00,72,24.00,1,0.005682,176,1.00,10.00
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,6111 - PACK EGG (NEGERI),6121 - PACK EGG (KAMPUNG),AFTER,21,7.00,8,2.67,1,0.005682,176,1.00,6.00
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,6112 - BULKY EGG,1119 - MINERAL WATER GALON,AFTER,72,24.00,69,23.00,2,0.011364,176,10.00,1.00
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,6112 - BULKY EGG,6111 - PACK EGG (NEGERI),AFTER,72,24.00,21,7.00,1,0.005682,176,10.00,1.00
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,6121 - PACK EGG (KAMPUNG),6111 - PACK EGG (NEGERI),AFTER,8,2.67,21,7.00,1,0.005682,176,6.00,1.00
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,1113 - MINERAL WATER,1119 - MINERAL WATER GALON,BEFORE,69,34.50,1148,574.00,15,0.009817,1528,1.13,1.31
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,1113 - MINERAL WATER,6112 - BULKY EGG,BEFORE,69,34.50,312,156.00,1,0.000654,1528,1.00,10.00
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,1119 - MINERAL WATER GALON,1113 - MINERAL WATER,BEFORE,1148,574.00,69,34.50,15,0.009817,1528,1.31,1.13
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,1119 - MINERAL WATER GALON,6111 - PACK EGG (NEGERI),BEFORE,1148,574.00,33,16.50,4,0.002618,1528,1.25,6.00
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,1119 - MINERAL WATER GALON,6112 - BULKY EGG,BEFORE,1148,574.00,312,156.00,36,0.023560,1528,1.26,10.77
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,1119 - MINERAL WATER GALON,6121 - PACK EGG (KAMPUNG),BEFORE,1148,574.00,21,10.50,4,0.002618,1528,1.75,9.00
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,6111 - PACK EGG (NEGERI),1119 - MINERAL WATER GALON,BEFORE,33,16.50,1148,574.00,4,0.002618,1528,6.00,1.25
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,6111 - PACK EGG (NEGERI),6112 - BULKY EGG,BEFORE,33,16.50,312,156.00,3,0.001963,1528,6.00,10.00
