BUYER_ID,SECTION,BRAND,CATEGORY_BEFORE,CATEGORY_AFTER,SWITCH_FLAG,PROMO_FLAG
MEM_9990010003978775,CHILLER,KOPI KENANGAN,1156 - RTD COFFEE,1156 - RTD COFFEE,NO_SWITCH,PROMO
MEM_9990010003978775,CHILLER,PUCUK HARUM,1154 - RTD TEA,1154 - RTD TEA,NO_SWITCH,NON PROMO
MEM_9990010003978775,CHILLER,ULTRA,2023 - TETRAPACK LIQUID MILK,2023 - TETRAPACK LIQUID MILK,NO_SWITCH,PROMO
MEM_9990010003978775,SANITARY ADULT,CHARM,3321 - SANITARY NAPKINS WINGS,3321 - SANITARY NAPKINS WINGS,NO_SWITCH,PROMO
MEM_9990010003978775,SANITARY ADULT,SOFTEX,3323 - PANTYLINERS,3323 - PANTYLINERS,NO_SWITCH,PROMO
MEM_9990010003998229,PERSONAL CARE,BIORE,3223 - HEALTHY LIQUID SOAP,3223 - HEALTHY LIQUID SOAP,NO_SWITCH,PROMO
MEM_9990010003998229,SANITARY ADULT,SOFTEX,3323 - PANTYLINERS,3323 - PANTYLINERS,NO_SWITCH,PROMO
MEM_9990010003998229,TOOTH CARE,ENZIM,3272 - TOOTH PASTE,3272 - TOOTH PASTE,NO_SWITCH,PROMO
MEM_9990010004075519,BISC & CONFECTIONARY,POCKY,2228 - STICK BISCUIT,2228 - STICK BISCUIT,NO_SWITCH,PROMO
MEM_9990010004075519,BISC & CONFECTIONARY,POCKY,2228 - STICK BISCUIT,2228 - STICK BISCUIT,NO_SWITCH,NON PROMO
MEM_9990010004075519,BREAD CORNER (BC),CERES,1313 - CHOCO RICE,1312 - CHOCOLATE SPREAD,SWITCH,PROMO
MEM_9990010004075519,BREAD CORNER (BC),MEG,1314 - CHEESE,1314 - CHEESE,NO_SWITCH,PROMO
MEM_9990010004075519,BREAD CORNER (BC),SARI ROTI,6611 - BREAD,6611 - BREAD,NO_SWITCH,NON PROMO
MEM_9990010004075519,BREAKFAST,SIMBA,1321 - CEREAL,1321 - CEREAL,NO_SWITCH,PROMO
MEM_9990010004075519,CHILLER,KIRANTI,1115 - REMEDIES DRINK,1115 - REMEDIES DRINK,NO_SWITCH,PROMO
MEM_9990010004075519,HOUSE HOLD,ALFAMART,3622 - CABINET NAPHTHALENE,4251 - CLEANING EQUIPMENT,SWITCH,NON PROMO
MEM_9990010004075519,NOODLE,INDOMIE,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,NON PROMO
MEM_9990010004075519,NOODLE,SEDAAP,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,NON PROMO
MEM_9990010004075519,SNACK,CEM-CEM,2213 - EXTRUDED & PELLET,2217 - CORN,SWITCH,NON PROMO
MEM_9990010004075519,SNACK,JACK'N JILL,2212 - POTATOES,2212 - POTATOES,NO_SWITCH,NON PROMO
MEM_9990010004075519,SNACK,MR.POTATO,2212 - POTATOES,2212 - POTATOES,NO_SWITCH,PROMO
MEM_9990010004075519,SNACK,SMAX,2213 - EXTRUDED & PELLET,2213 - EXTRUDED & PELLET,NO_SWITCH,PROMO
MEM_9990010004075519,SNACK,WONHAE,2213 - EXTRUDED & PELLET,2213 - EXTRUDED & PELLET,NO_SWITCH,PROMO
MEM_9990010004075519,STAPLE NEED,INDOFOOD,1721 - CHILLI,1721 - CHILLI,NO_SWITCH,NON PROMO
MEM_9990010004075519,STAPLE NEED,WOW,1915 - PASTA,1915 - PASTA,NO_SWITCH,PROMO
MEM_9990010004076290,NOODLE,INDOMIE,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,PROMO
MEM_9990010004284540,BISC & CONFECTIONARY,DELFI,2331 - ENROBED CHOCOLATE,2331 - ENROBED CHOCOLATE,NO_SWITCH,PROMO
MEM_9990010004284540,BISC & CONFECTIONARY,DELFI,2331 - ENROBED CHOCOLATE,2331 - ENROBED CHOCOLATE,NO_SWITCH,NON PROMO
MEM_9990010004284540,CHILLER,ICHITAN,2024 - BOTTLE - CAN LIQUID MILK,1154 - RTD TEA,SWITCH,NON PROMO
MEM_9990010004284540,CHILLER,NU,1154 - RTD TEA,1154 - RTD TEA,NO_SWITCH,PROMO
MEM_9990010004284540,CHILLER,OATSIDE,1156 - RTD COFFEE,2025 - PLANT BASED LIQUID MILK,SWITCH,NON PROMO
MEM_9990010004284540,CHILLER,OATSIDE,2025 - PLANT BASED LIQUID MILK,2025 - PLANT BASED LIQUID MILK,NO_SWITCH,NON PROMO
MEM_9990010004284540,NOODLE,INDOMIE,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,PROMO
MEM_9990010004284540,NOODLE,INDOMIE,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,NON PROMO
MEM_9990010004284540,SNACK,JAPOTA,2212 - POTATOES,2212 - POTATOES,NO_SWITCH,PROMO
MEM_9990010004368935,HOUSE HOLD,EKONOMI,3516 - DISHWASHING CLEANER,3516 - DISHWASHING CLEANER,NO_SWITCH,PROMO
MEM_9990010004423819,CHILLER,KIRANTI,1115 - REMEDIES DRINK,1115 - REMEDIES DRINK,NO_SWITCH,NON PROMO
MEM_9990010004423819,PERSONAL CARE,PURBASARI,3224 - FEMININ HYGIENE,3224 - FEMININ HYGIENE,NO_SWITCH,NON PROMO
MEM_9990010004423819,SANITARY ADULT,CHARM,3321 - SANITARY NAPKINS WINGS,3321 - SANITARY NAPKINS WINGS,NO_SWITCH,PROMO
MEM_9990010004449821,CHILLER,HYDRO COCO,1114 - ISOTONIC DRINK,1114 - ISOTONIC DRINK,NO_SWITCH,NON PROMO
MEM_9990010006209529,HOUSE HOLD,MOLTO,3724 - IRONING,3724 - IRONING,NO_SWITCH,PROMO
MEM_9990010006209529,HOUSE HOLD,SOKLIN,3723 - DILUTE FABRIC CONDITIONER,3723 - DILUTE FABRIC CONDITIONER,NO_SWITCH,PROMO
MEM_9990010006209529,ICE CREAM,CAMPINA,6242 - IMPULSE ICE CREAM,6242 - IMPULSE ICE CREAM,NO_SWITCH,NON PROMO
MEM_9990010006209529,ICE CREAM,GLICO,6242 - IMPULSE ICE CREAM,6242 - IMPULSE ICE CREAM,NO_SWITCH,NON PROMO
MEM_9990010006209529,ICE CREAM,WALL'S,6242 - IMPULSE ICE CREAM,6242 - IMPULSE ICE CREAM,NO_SWITCH,NON PROMO
MEM_9990010006209529,MEDICINE & BABY CARE,KODOMO,3424 - TOOTH PASTE KIDS,3424 - TOOTH PASTE KIDS,NO_SWITCH,NON PROMO
MEM_9990010006209529,MEJA KASIR,SILVER QUEEN,2332 - BLOCK CHOCOLATE,2332 - BLOCK CHOCOLATE,NO_SWITCH,NON PROMO
MEM_9990010006209529,STAPLE NEED,PA TANI,1513 - FLOUR,1513 - FLOUR,NO_SWITCH,PROMO
MEM_9990010006209529,STAPLE NEED,ROSE BRAND,1513 - FLOUR,1513 - FLOUR,NO_SWITCH,PROMO
MEM_9990010006209529,TOOTH CARE,CIPTADENT,3272 - TOOTH PASTE,3272 - TOOTH PASTE,NO_SWITCH,PROMO
